"id","lie","self","sex","age","pr_speed","wrkn_mem","mrt"
71,"yes","no","F",20,17,17,1545.00970873786
71,"yes","yes","F",20,17,17,1367.56880733945
72,"no","no","M",19,21,17,1657.67592592593
72,"no","yes","M",19,21,17,1320.90740740741
72,"yes","no","M",19,21,17,1818.79807692308
72,"yes","yes","M",19,21,17,1512.11111111111
73,"no","no","F",20,24,17,1305.75824175824
73,"no","yes","F",20,24,17,1125.07777777778
73,"yes","no","F",20,24,17,2082.0987654321
73,"yes","yes","F",20,24,17,1812.13483146067
74,"no","no","F",19,27,24,1765.2427184466
74,"no","yes","F",19,27,24,1423.81553398058
74,"yes","no","F",19,27,24,1990.81818181818
74,"yes","yes","F",19,27,24,1683.22
75,"no","no","M",20,31,19,1273.66265060241
75,"no","yes","M",20,31,19,1159.175
75,"yes","no","M",20,31,19,1430.04411764706
75,"yes","yes","M",20,31,19,1276.72
